epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,1430.68,0.90972,0.87943,0.91975,0,0,0,0,nan,nan,nan,0.001005,0.001005,0.051005
52,1448.67,0.92167,0.91322,0.9227,0,0,0,0,nan,nan,nan,0.001015,0.001015,0.050015
53,1467.1,0.85092,0.81619,0.90073,0,0,0,0,nan,nan,nan,0.00102461,0.00102461,0.0490246
54,1492.48,0.89736,0.88366,0.89032,0,0,0,0,5.23094,nan,263.432,0.00103382,0.00103382,0.0480338
55,1511.27,0.84887,0.84408,0.89336,0,0,0,0,5.23094,nan,263.432,0.00104263,0.00104263,0.0470426
56,1531.64,0.82023,0.7993,0.89751,0,0,0,0,5.44679,inf,182.844,0.00105105,0.00105105,0.0460511
57,1552.27,0.84619,0.76747,0.91053,0,0,0,0,5.44679,inf,182.844,0.00105907,0.00105907,0.0450591
58,1565.13,0.89606,0.84608,0.92631,0,0,0,0,5.71186,inf,147.324,0.0010667,0.0010667,0.0440667
59,1587.76,0.9194,0.77442,0.90768,0,0,0,0,5.71186,inf,147.324,0.00107393,0.00107393,0.0430739
60,1606.61,0.92389,0.78275,0.91477,0,0,0,0,5.67621,inf,22.9907,0.00108076,0.00108076,0.0420808
61,1625.32,0.79882,0.749,0.88866,0,0,0,0,5.67621,inf,22.9907,0.0010872,0.0010872,0.0410872
62,1644.38,0.83481,0.75094,0.89969,0,0,0,0,4.71381,inf,14.1218,0.00109324,0.00109324,0.0400932
63,1664.36,0.85704,0.69369,0.88848,0,0,0,0,4.71381,inf,14.1218,0.00109889,0.00109889,0.0390989
64,1684.34,0.86357,0.75381,0.88474,0,0,0,0,5.27268,inf,8.94799,0.00110414,0.00110414,0.0381041
65,1708.64,0.89486,0.84377,0.93182,0,0,0,0,5.27268,inf,8.94799,0.00110899,0.00110899,0.037109
66,1727.24,0.83955,0.7376,0.9313,0,0,0,0,4.76195,inf,7.80997,0.00111345,0.00111345,0.0361135
67,1746.86,0.90492,0.74721,0.90872,0,0,0,0,4.76195,inf,7.80997,0.00111751,0.00111751,0.0351175
68,1771.7,0.87952,0.69747,0.91868,0,0,0,0,4.60598,inf,6.68175,0.00112118,0.00112118,0.0341212
69,1790.93,0.8579,0.73632,0.86841,0,0,0,0,4.60598,inf,6.68175,0.00112445,0.00112445,0.0331244
70,1808.04,0.87196,0.7354,0.88853,0,0,0,0,4.59912,inf,5.7666,0.00112732,0.00112732,0.0321273
71,1826.49,0.8289,0.66026,0.87732,0,0,0,0,4.59912,inf,5.7666,0.0011298,0.0011298,0.0311298
72,1839.65,0.86527,0.74383,0.89713,0,0,0,0,4.12403,inf,4.06561,0.00113188,0.00113188,0.0301319
73,1859.16,0.77026,0.68168,0.89976,0,0,0,0,4.12403,inf,4.06561,0.00113357,0.00113357,0.0291336
74,1875.18,0.8666,0.73735,0.88164,0,0,0,0,3.40902,125.691,3.29217,0.00113486,0.00113486,0.0281349
75,1893.81,0.80591,0.63646,0.87609,0,0,0,0,3.40902,125.691,3.29217,0.00113575,0.00113575,0.0271358
76,1918.02,0.84496,0.663,0.88449,0,0,0,0,3.24131,6.0836,2.81433,0.00113625,0.00113625,0.0261362
77,1936.42,0.80082,0.66595,0.89468,0,0,0,0,3.24131,6.0836,2.81433,0.00113635,0.00113635,0.0251364
78,1955.27,0.74847,0.63223,0.87687,0.09048,0.1675,0.09943,0.0636,2.55415,5.19811,1.98372,0.00113606,0.00113606,0.0241361
79,1978.12,0.78771,0.64149,0.86829,0.09048,0.1675,0.09943,0.0636,2.55415,5.19811,1.98372,0.00113537,0.00113537,0.0231354
80,2002.26,0.87565,0.6892,0.88086,0.2944,0.48538,0.43714,0.26676,1.91815,3.288,1.31462,0.00113428,0.00113428,0.0221343
81,2021.87,0.82163,0.67349,0.88528,0.2944,0.48538,0.43714,0.26676,1.91815,3.288,1.31462,0.0011328,0.0011328,0.0211328
82,2039.42,0.87484,0.70403,0.91673,0.13161,0.10114,0.10051,0.04584,2.46587,9.61992,1.65464,0.00113092,0.00113092,0.0201309
83,2058.31,0.82365,0.61877,0.88947,0.13161,0.10114,0.10051,0.04584,2.46587,9.61992,1.65464,0.00112865,0.00112865,0.0191286
84,2074.29,0.81245,0.62525,0.88372,0.29217,0.25098,0.29017,0.17292,1.82311,3.37404,1.28602,0.00112598,0.00112598,0.018126
85,2096.4,0.78696,0.62619,0.88637,0.29217,0.25098,0.29017,0.17292,1.82311,3.37404,1.28602,0.00112291,0.00112291,0.0171229
86,2110.52,0.75031,0.6174,0.88407,0.62554,0.32763,0.38032,0.2437,1.81542,2.53659,1.29923,0.00111945,0.00111945,0.0161194
87,2128.99,0.77778,0.59571,0.89447,0.62554,0.32763,0.38032,0.2437,1.81542,2.53659,1.29923,0.00111559,0.00111559,0.0151156
88,2145.08,0.78094,0.61173,0.88389,0.50915,0.32234,0.42252,0.24866,1.89736,7.29019,1.30614,0.00111134,0.00111134,0.0141113
89,2168.09,0.80175,0.6434,0.87339,0.50915,0.32234,0.42252,0.24866,1.89736,7.29019,1.30614,0.00110669,0.00110669,0.0131067
90,2185.78,0.75746,0.59685,0.87182,0.63054,0.73358,0.81013,0.5349,1.20585,1.25847,0.94529,0.00110164,0.00110164,0.0121016
91,2206.36,0.76015,0.60293,0.88531,0.63054,0.73358,0.81013,0.5349,1.20585,1.25847,0.94529,0.0010962,0.0010962,0.0110962
92,2226.22,0.79237,0.62916,0.8669,0.70552,0.69704,0.83298,0.55587,1.11065,1.00457,0.91388,0.00109036,0.00109036,0.0100904
93,2249.69,0.77922,0.60205,0.86845,0.70552,0.69704,0.83298,0.55587,1.11065,1.00457,0.91388,0.00108413,0.00108413,0.00908413
94,2266.76,0.73069,0.57178,0.86948,0.67942,0.73661,0.82603,0.56427,1.09011,0.98247,0.90487,0.0010775,0.0010775,0.0080775
95,2289.6,0.77895,0.58312,0.86738,0.67942,0.73661,0.82603,0.56427,1.09011,0.98247,0.90487,0.00107047,0.00107047,0.00707047
96,2308.85,0.82198,0.63225,0.87163,0.68162,0.70455,0.81348,0.5482,1.11009,1.10531,0.90573,0.00106305,0.00106305,0.00606305
97,2327.32,0.76497,0.56727,0.86311,0.68162,0.70455,0.81348,0.5482,1.11009,1.10531,0.90573,0.00105523,0.00105523,0.00505523
